stringId,default
report.reporting.procedureTimeOut,Procedure time out
report.reporting.procedures,Procedures
report.reporting.referralCompletedBy,Referring doctor
report.reporting.referralDate,Referral date
report.reporting.referralType,Referral name
report.reporting.registryClinicalStatus,Status
report.reporting.registryCondition,Related Condition
report.reporting.registryConditionCategories,Related condition categories
report.reporting.registryConditionCategory,Related condition category
report.reporting.registryConditionRecordedBy,Condition added by
report.reporting.registryConditionRecordedDate,Date condition added
report.reporting.registryConditions,Related conditions
report.reporting.registryCurrentlyAt,Currently at
report.reporting.registryDeactivatedBy,Deactivated by
report.reporting.registryDeactivatedDate,Date of deactivation
report.reporting.registryRegisteredBy,Registered by
report.reporting.registryRegisteredDate,Date of registration
report.reporting.registryRegisteringFacility,Registering facility
report.reporting.registryRegistrationStatus,Registration status
report.reporting.reportingDate,Date
report.reporting.reportingMonth,Month
report.reporting.requestingDepartment,Requesting department
report.reporting.rolePermissions,Role permissions
report.reporting.surveyResult,Result
report.reporting.surveySignatureSigned,Signed
report.reporting.surveySignatureUnsigned,Unsigned
report.reporting.surveySubmissionTime,Submission time
report.reporting.triageActiveCareDateTime,Time of active care/admission
report.reporting.triageArrivalMode,Arrival mode
report.reporting.triageCategory,Triage category
report.reporting.triageChiefComplaint,Chief complaint
report.reporting.triageDateTime,Time of triage
report.reporting.triageEdOutcome,Discharged from ED or admitted
report.reporting.triageRecordCount,Number of triage records
report.reporting.triageSecondaryComplaint,Secondary complaint
report.reporting.triageTargetTimeMet,Target time met
report.reporting.triageTotalLengthOfStay,Total length of stay triage to discharge (hh:mm:ss)
report.reporting.triageWaitingTime,Time seen following triage/Waiting time (hh:mm:ss)
report.reporting.triageWaitingTimeToActiveCare,Waiting time triage to active care (hh:mm:ss)
report.reporting.userDesignations,Designations
report.reporting.userDisplayId,User ID
report.reporting.userEmail,User email
report.reporting.userName,User name
report.reporting.userRole,User role
report.reporting.vaccinationBatch,Batch
report.reporting.vaccinationDate,Vaccination date
report.reporting.vaccinationDueDate,Vaccination due date
report.reporting.vaccinationGivenBy,Given by
report.reporting.vaccinationGivenElseWhereCircumstances,"If given elsewhere, Circumstances"
report.reporting.vaccinationGivenElsewhereCountry,"If given elsewhere, Country"
report.reporting.vaccinationIsConsented,Consent given
report.reporting.vaccinationModifiedBy,Record modified by
report.reporting.vaccinationModifiedDate,Record modification date
report.reporting.vaccinationNotGivenClinician,"If not given, Supervising clinician"
report.reporting.vaccinationNotGivenDate,Date vaccine not given
report.reporting.vaccinationNotGivenReason,"If not given, Reason not given"
report.reporting.vaccinationRecordedBy,Recorded by
report.reporting.vaccinationStatus,Vaccine status
report.reporting.vaccinations,Vaccinations
report.reporting.vaccineBrand,"If category of Other, Vaccine brand"
report.reporting.vaccineCategory,Vaccine category
report.reporting.vaccineDisease,"If category of Other, Disease"
report.reporting.vaccineName,Vaccine name
report.reporting.vaccineSchedule,Schedule
